ID,Date of Payment (Payment),OR Number (Payment),Year (Payment),Lodge (Payment),Amount (Payment),Posted (Payment),User (Payment)
8040,3/28/2025,434,2025,15,400,1,ALLAN
8040,2/14/2024,193859,2024,15,400,1,ALLAN
8040,2/7/2023,187280,2023,15,400,1,ALLAN
8040,2/21/2022,181212,2022,15,400,1,ALLAN
8040,1/20/2021,177272,2021,15,200,1,ALLAN
8040,2/14/2020,175325,2020,15,200,1,ALLAN
8040,3/18/2019,171697,2019,15,200,1,ALLAN
8040,2/26/2018,168180,2018,15,200,1,ALLAN
8040,3/15/2017,164578,2017,15,200,1,ALLAN
8040,3/28/2016,161323,2016,15,200,1,ALLAN
8040,3/31/2015,157758,2015,15,200,1,ALLAN
8040,2/26/2015,157094,2014,15,200,1,ALLAN
8040,3/6/2014,152776,2013,15,200,1,ALLAN
8050,3/28/2025,434,2025,15,2600,1,ALLAN
8050,2/14/2024,193859,2024,15,2600,1,ALLAN
8050,2/7/2023,187280,2023,15,2500,1,ALLAN
8050,2/21/2022,181212,2022,15,2500,1,ALLAN
8050,1/20/2021,177272,2021,15,1725,1,ALLAN
8050,2/14/2020,175325,2020,15,1725,1,ALLAN
8050,3/18/2019,171697,2019,15,1725,1,ALLAN
8050,2/26/2018,168180,2018,15,1725,1,ALLAN
8050,3/15/2017,164578,2017,15,1875,1,ALLAN
8050,3/28/2016,161323,2016,15,1875,1,ALLAN
8050,3/9/2015,157286,2015,15,1875,1,CECILLE
8050,3/5/2014,152739,2014,15,1425,1,CECILLE
8050,3/5/2014,152739,1991,15,276,1,CECILLE
8060,8/27/2014,154882,2014,15,1725,1,CECILLE
8060,8/27/2014,154882,1991,15,276,1,CECILLE
8065,3/28/2025,434,2025,15,400,1,ALLAN
8065,2/14/2024,193859,2024,15,400,1,ALLAN
8065,2/7/2023,187280,2023,15,400,1,ALLAN
8065,2/21/2022,181212,2022,15,400,1,ALLAN
8065,1/20/2021,177272,2021,15,200,1,ALLAN
8065,2/14/2020,175325,2020,15,200,1,ALLAN
8065,3/18/2019,171697,2019,15,200,1,ALLAN
8065,2/26/2018,168180,2018,15,200,1,ALLAN
8065,3/15/2017,164578,2017,15,200,1,ALLAN
8065,3/28/2016,161323,2016,15,200,1,ALLAN
8065,3/31/2015,157758,2015,15,200,1,ALLAN
8065,2/26/2015,157094,2014,15,200,1,ALLAN
8065,3/6/2014,152776,2013,15,200,1,ALLAN
8069,3/28/2016,161323,2016,15,200,1,ALLAN
8069,3/31/2015,157758,2015,15,200,1,ALLAN
8069,2/26/2015,157094,2014,15,200,1,ALLAN
8069,3/6/2014,152776,2013,15,200,1,ALLAN
8071,3/28/2025,434,2025,15,2600,1,ALLAN
8071,2/14/2024,193859,2024,15,2600,1,ALLAN
8071,2/7/2023,187280,2023,15,2500,1,ALLAN
8071,2/21/2022,181212,2022,15,2500,1,ALLAN
8071,1/20/2021,177272,2021,15,1725,1,ALLAN
8071,2/14/2020,175325,2020,15,1725,1,ALLAN
8071,3/18/2019,171697,2019,15,1725,1,ALLAN
8071,2/26/2018,168180,2018,15,1725,1,ALLAN
8071,3/15/2017,164578,2017,15,1875,1,ALLAN
8071,3/28/2016,161323,2016,15,1875,1,ALLAN
8071,3/31/2015,157758,2015,15,1875,1,ALLAN
8071,2/26/2015,157094,2014,15,1725,1,ALLAN
8071,3/6/2014,152776,2013,15,1425,1,ALLAN
8075,3/28/2025,434,2025,15,2600,1,ALLAN
8075,2/14/2024,193859,2024,15,2600,1,ALLAN
8075,2/7/2023,187280,2023,15,2500,1,ALLAN
