ID,Date (Activities),Type (Activities),Action (Activities),Notes (Activities)
21777,03/21/2023,Regular,Accepted,DECEASED PER MMR 12/2022 [JOEL]
21783,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
21791,01/24/2013,Regular,Accepted,SNPD (69) PER 2012 AR [JEN];
21792,03/07/2022,Regular,Accepted,DECEASED [69] PER SUBMITTED LETTER DATED 03/02/2022 [JOEL]
21808,03/14/2017,Regular,Accepted,LML CERT & PIN (69) ISSUED PER SI# 191498 DTD 03/08/17 [JEN];
21808,10/19/2020,Regular,Accepted,DECEASED [69] MMR 06/01/2020 CIR. 10/20/2020 [JOEL]
21815,02/12/2014,Regular,Accepted,DECEASED (69) PER 2013 AR [JEN]; 
21821,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
21823,03/07/2022,Regular,Accepted,DECEASED [69] PER SUBMITTED LETTER DATED 03/02/2022 [JOEL]
21826,01/24/2013,Regular,Accepted,SNPD (69) PER 2012 AR [JEN];
21849,02/28/2020,Regular,Accepted,DECEASED [69] A/R 2019 [MON]
21857,06/07/2010,Regular,Accepted,SNPD (69) 12/31/09 PER MMR 03/06/10 - CIR. 05/10/10 (ann); 
21858,02/09/2019,Regular,Accepted,DECASED(69) MMR 10/20/18- CIR. 02/10/19 [JOEL]
21860,03/07/2022,Regular,Accepted,DECEASED [69] PER SUBMITTED LETTER DATED 03/02/2022 [JOEL]
21868,03/14/2017,Regular,Accepted,LML CERT & PIN (69) ISSUED PER SI# 191498 DTD 03/08/17 [JEN];
21868,11/11/2021,Regular,Accepted,DECEASED [69] MMR 08/2021 CIR. 11/20/2021 [JOEL]
21875,05/30/2015,Regular,Accepted,DECEASED (69) 11/13/14 PER 2014 AR [JEN];
23127,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
23127,12/04/2020,Regular,Accepted,LML CERT AND PIN ISSUED 11/27/2020 S.I NO. 209637 [JOEL]
23127,05/26/2021,Regular,Accepted,DGL [MD- RIV ] MY 2021-2022 [JOEL]
