ID,Date (Masonic Timeline),Type (Masonic Timeline),Details (Masonic Timeline),Additional Information (Masonic Timeline)
69833,2022,LO,SECRETARY,Sec [448] Er 2022  [lara]
69833,2023,LO,SECRETARY,Sec [448] E/R 2023 [lara]
69833,2024,LO,TREASURER,Treasurer [448] ER 2024 [Lara]
69833,2025,LO,TREASURER,Treasurer [448] ER 2025 [Lara]
69948,2008,LO,TREASURER,TREAS. (352) 2008 ER;
70233,2011,LO,JW,JW (51) 2011 ER [ann]; 
70233,2012,LO,SW,SW (51) 2012 ER [JEN];
70233,2013,LO,WM,WM (51) 2013 ER [JEN];
70234,2016,LO,TREASURER,TREAS (69) 2016 ER [JEN];
70234,2017,LO,JW,JW (69) 2017 ER [JEN];
70234,2018,LO,SW,SW(69) 2018ER (JOEL);
70234,2019,LO,WM,WM(69) E/R 2019 [JOAN]
70234,2020,LO,SECRETARY,SECRETARY [69] E/R 2020 [MON]
70234,2022,LO,SECRETARY,Sec [69] Er 2022 - [lara]
70234,2023,LO,SECRETARY,Sec [69] E/R 2023 [lara]
70234,2024,LO,SECRETARY,Sec [69] ER 2024 [Lara]
70234,2025,LO,SECRETARY,Sec [69] E/R 2025 [Lara]
70314,2011,LO,SW,SW (15) 2011 ER [ann]; 
70314,2012,LO,WM,WM (15) PER 2011 AR [JEN];
70385,2007,LO,JW,JW (17) 2007 ER;
70385,2008,LO,WM,WM (17) 2008 ER;
70385,2010,LO,WM,WM (17) 2010 ER (ann04/06/10); 
70385,2011,LO,SECRETARY,SEC (346) 2011 ER [ann]; 
70385,2012,LO,SECRETARY,SEC (346) 2012 ER (fav 03/16/2012);
70385,2013,LO,SECRETARY,SEC (346) 2013 ER [JEN];
70386,2011,LO,JW,JW (346) 2011 ER [ann]; 
70386,2012,LO,SW,SW (346) 2012 ER (fav 03/16/2012);
70386,2013,LO,WM,WM (346) 2013 ER [JEN];
70388,2010,LO,WM,WM (346) 2010 ER (ann04/14/10); 
70388,2011,LO,TREASURER,TREAS (346) 2011 ER [ann]; 
70389,2011,LO,SW,SW (346) 2011 ER [ann]; 
70389,2012,LO,WM,WM (346) 2012 ER (fav 03/16/2012);
70546,2008,LO,AUDITOR,AUD. (31) 2008 ER;
70548,2008,LO,SECRETARY,SEC. (31) 2008 ER;
70548,2012,LO,SW,SW (31) 2012 ER [JEN];
70548,2013,LO,WM,WM (31) 2013 ER [JEN];
70558,2008,LO,SW,SW (69) 2008 ER;
70558,2009,LO,WM,WM(69) 2009 ER;
70558,2010,LO,SECRETARY,SEC (69) 2010 ER (ann04/07/10); 
70558,2011,LO,SECRETARY,SEC (69) 2011 ER [ann]; 
70559,2008,LO,JW,JW (69) 2008 ER;
70559,2009,LO,SW,SW(69) 2009 ER;
70559,2010,LO,WM,WM (69) 2010 ER (ann04/07/10); 
70561,2015,LO,JW,JW (69) 2015 ER [JEN];
70561,2016,LO,SW,SW (69) 2016 ER [JEN];
70561,2017,LO,WM,WM (69) 2017 ER [JEN];
70751,2008,LO,TREASURER,TREAS. (31) 2008 ER;
70884,2010,LO,SW,SW (346) 2010 ER (ann04/14/10); 
70884,2011,LO,WM,WM (346) 2011 ER [ann]; 
70884,2012,LO,TREASURER,TREAS (346) 2012 ER (fav 03/16/2012);
70884,2013,LO,TREASURER,TREAS (346) 2013 ER [JEN];
70884,2018,LO,AUDITOR,AUD(346) 2018ER (JOEL);
70884,2019,LO,AUDITOR,AU(346) E/R 2019[JOAN]
71058,2011,LO,TREASURER,TREAS (352) 2011 ER [ann]; 
71154,2017,LO,JW,JW (346) 2017 ER [JEN];
71380,2010,LO,TREASURER,TREAS (352) 2010 ER (ann04/14/10); 
71381,2010,LO,SECRETARY,SEC (352) 2010 ER (ann04/14/10); 
71381,2011,LO,JW,JW (352) 2011 ER [ann]; 
71493,2014,LO,JW,JW (15) ER 2014 [JEN]; 
71493,2015,LO,SW,SW (15) 2015 ER [JEN];
71493,2016,LO,WM,WM (15) 2016 ER [JEN];
71493,2022,LO,AUDITOR,Auditor [15] Er 2022  [lara]
71493,2023,LO,AUDITOR,Auditor [15] E/R 2023 [lara]
71658,2009,LO,TREASURER,TREAS(366) 2009 ER;
71658,2011,LO,JW,JW (366) 2011 ER [ann]; 
71658,2013,LO,JW,JW (352) 2013 ER [JEN];
71658,2015,LO,TREASURER,TREAS (352) 2015 ER [JEN];
71658,2016,LO,WM,WM (352) 2016 ER [JEN];
71658,2017,LO,AUDITOR,AUD (352) 2017 ER [JEN];
71658,2023,LO,AUDITOR,Auditor [352] E/R 2023 [lara] 
71960,2012,LO,SECRETARY,SEC (31) 2012 ER [JEN];
71960,2013,LO,SECRETARY,"SEC (31) 2013 ER [JEN];

"
71960,2014,LO,SECRETARY,SEC (31) 2014 ER [JEN];
71960,2015,LO,SECRETARY,SEC (31) 2015 ER [JEN];
72246,2011,LO,JW,JW (15) 2011 ER [ann]; 
72246,2012,LO,SW,SW (15) PER 2011 AR [JEN];
72246,2013,LO,WM,WM (15) 2013 ER [JEN];
72248,2013,LO,JW,JW (15) 2013 ER [JEN];
72248,2014,LO,SW,SW (15) ER 2014 [JEN]; 
72248,2015,LO,WM,WM (15) 2015 ER [JEN];
72248,2016,LO,AUDITOR,AUD (15) 2016 ER [JEN];
